b_quark	60.6199 52.9175 -7.29325 28.3522	69.1559 39.3697 -49.2248 28.1427
b_quark	68.1387 46.471 1.73808 -49.627	53.5002 45.54 12.942 -24.5644
b_quark	10.3422 0.143371 0.840902 -9.42134	67.0303 0.227378 0.170896 -66.8992
W_boson	30.0382 21.8926 -19.2302 6.99028	60.5435 11.8883 -3.42834 59.2291
W_boson	53.2784 -27.1849 21.2993 40.5163	56.9527 -48.1263 8.31578 29.2228
b_quark	32.5509 -12.3975 -4.70235 29.4326	71.9708 -66.49 -23.1042 14.4082
b_quark	54.0072 14.356 -23.4402 -46.3008	49.5235 1.83784 -45.1289 -19.8773
b_quark	35.4821 27.1415 21.8162 -5.37594	61.9377 7.12882 55.4859 -26.2545
W_boson	44.535 2.92207 43.8073 -7.16931	53.9501 37.0058 14.5891 -36.3868
W_boson	78.3791 -51.0374 -37.0415 46.4978	50.7539 -14.9704 -48.3217 3.53634
b_quark	47.1272 -17.8625 43.3179 -2.82676	51.7295 -49.2175 11.3226 -10.3876
W_boson	65.2661 32.6823 -43.4018 36.1035	57.8615 53.182 -3.34081 22.4526
b_quark	71.0845 -20.3883 -4.72477 67.8051	45.3977 -36.8285 -19.1497 17.9004
b_quark	39.911 0.425483 -3.29079 -39.5526	40.2995 22.8871 -25.4424 -20.8673
b_quark	80.631 22.2672 -31.9199 -70.4924	74.1987 35.9609 -64.4299 -6.60171
b_quark	23.8136 12.1678 -19.5559 -4.37324	35.3204 18.758 -3.96148 -29.3684
W_boson	87.144 78.0727 -7.50234 37.9222	31.9987 4.80091 -13.8075 28.388
b_quark	96.5199 -62.5369 72.2622 -12.8818	26.2801 -11.5413 16.1517 -16.7061
b_quark	79.2399 5.02027 63.2724 47.2535	19.9701 9.35798 5.5679 16.2098
b_quark	33.9793 -10.0352 -18.4649 26.3716	58.8519 -2.88979 -11.7037 57.4521
b_quark	10.8486 6.15961 7.36893 2.82455	67.2684 42.7564 47.9146 19.587
W_boson	47.4743 -27.8283 -34.3339 -17.2114	69.8516 -9.25016 -40.4817 -56.1299
Tau	66.7302 -51.1549 42.8015 -0.987522	25.8372 -23.6389 7.30348 -7.22973
W_boson	51.1826 -50.1034 2.21701 10.0022	70.0748 -2.96141 34.5722 60.8451
W_boson	56.2041 -17.2811 53.2315 -4.72514	107.898 -58.6836 35.607 -83.2224
W_boson	61.4763 -58.2944 -1.73527 19.3323	54.5014 -13.4698 -52.767 0.506544
b_quark	82.9174 -59.897 14.8793 -55.2157	67.9647 -29.3577 47.5817 -38.4166
b_quark	55.7279 21.6131 15.3224 -48.849	75.8732 73.2803 18.8935 -3.5076
b_quark	48.3 9.21299 -46.7982 -6.36114	12.9918 8.72861 -7.6493 -4.07606
b_quark	54.2611 54.0395 1.73971 1.86948	77.3513 32.5616 0.960071 70.0326
W_boson	15.1756 4.54839 13.8966 3.4853	32.694 17.3452 10.9044 25.3927
W_boson	35.9869 -13.0554 -31.7151 10.6968	86.0416 -81.7445 -26.7351 1.36817
b_quark	36.1197 -27.507 -21.6799 7.77884	70.2461 -48.3549 -50.777 0.741227
b_quark	80.3211 75.0235 -21.9266 -18.0196	23.3174 2.29649 -5.55475 -22.1382
b_quark	76.254 57.3186 44.0397 23.9224	66.5562 25.2818 50.0201 35.6521
b_quark	21.8204 -4.79167 20.0751 -5.71767	19.9452 -5.46427 18.7102 -0.640473
b_quark	6.87373 -2.69728 -4.51951 1.44029	17.739 -16.9918 -2.03873 2.07881
b_quark	18.0949 2.49583 -13.9864 10.3974	100.944 77.3576 -58.6148 27.4294
Tau	78.4672 -7.41426 -67.7142 -38.9072	36.1277 -10.7301 -26.0348 -22.5635
b_quark	23.1606 -0.0123979 -6.33093 21.8828	51.9234 -45.0139 -11.9438 22.5757
b_quark	20.51 8.4695 -13.7926 -11.8835	90.1251 18.1182 -86.1523 -18.8302
b_quark	75.0958 -0.0874872 -27.7813 -69.6427	9.98189 -1.47103 -8.50889 -2.75693
b_quark	40.0495 -22.5969 -31.0513 10.5682	71.8246 -0.0205334 -57.7218 42.5382
W_boson	56.2358 50.1484 20.1251 -15.4351	91.3928 42.2358 79.6933 -14.6084
b_quark	38.4787 -36.6027 6.83865 -8.75286	56.3073 -23.5972 1.72625 -50.9238
W_boson	42.4284 1.44135 12.3494 40.5122	21.436 1.31045 9.25456 19.1779
b_quark	60.7959 -59.6871 1.57964 10.6592	12.7098 -10.9786 3.17727 3.66623
b_quark	46.0055 14.3962 38.2863 -20.6383	39.7449 21.3456 30.6418 -12.9472
b_quark	30.5075 29.9688 -0.771184 3.80948	27.8264 18.8462 -18.6721 7.28106
b_quark	68.175 3.92496 9.65741 -67.2435	34.1482 18.9753 13.1278 -24.8239
b_quark	14.8806 -11.4454 -5.69184 -6.36905	63.983 -19.8567 -60.0295 -8.86188
b_quark	49.045 14.9863 -15.1549 -43.9736	51.1793 31.0882 -11.7163 -38.7053
b_quark	9.09434 -0.985961 -3.84885 7.03199	35.4176 -15.3809 -31.0987 5.76473
b_quark	71.8942 0.810761 -5.21967 -71.5779	83.27 5.56128 -82.7321 -6.39562
b_quark	85.6157 8.50184 -40.9519 -74.5872	36.4947 1.40116 -33.6007 -13.5434
b_quark	89.2943 55.5362 69.7801 1.57123	29.6175 28.0592 1.92211 8.28923
W_boson	28.4816 19.6251 19.6543 5.95145	102.511 49.64 13.2148 88.6872
